block_timestamp,receipt_effective_gas_price_mean,predicted
2021-11-30 15:49:43,119794075961.17082,91198141487.48509
2021-11-30 15:50:01,121804619465.48,91198141487.48509
2021-11-30 15:50:03,124756319660.63158,91198141487.48509
2021-11-30 15:50:11,118720754687.42105,93271156868.74707
2021-11-30 15:50:16,116952359679.26587,92113728059.45668
2021-11-30 15:50:49,134960032106.1417,96450054426.84914
2021-11-30 15:51:11,126494447769.79234,93935417175.90128
2021-11-30 15:51:17,132635011633.31847,95003745699.88667
2021-11-30 15:51:42,144265267611.31396,97877549036.73018
2021-11-30 15:51:59,123865304809.25,96258980760.44588
2021-11-30 15:52:13,137822809075.07263,93478650517.49135
2021-11-30 15:52:30,134135562504.84883,95003745699.88667
2021-11-30 15:52:36,124233399586.69962,91198141487.48509
2021-11-30 15:52:45,137180527961.06111,91198141487.48509
2021-11-30 15:53:00,130671357186.51613,95003745699.88667
2021-11-30 15:53:22,135198896513.45763,91198141487.48509
2021-11-30 15:53:26,130376606850.58928,91198141487.48509
2021-11-30 15:53:32,123000673495.79439,91198141487.48509
2021-11-30 15:53:38,117632788069.29808,91033279274.20584
2021-11-30 15:53:46,117189143696.80048,90963834683.7007
2021-11-30 15:54:09,125391549781.28206,91198141487.48509
2021-11-30 15:54:21,129933071896.6027,91198141487.48509
2021-11-30 15:54:42,135403600461.83333,96329666205.56558
2021-11-30 15:54:43,125283183955.4,95221231207.14609
2021-11-30 15:54:45,126863615838.72783,95144826454.52953
2021-11-30 15:55:18,162145737099.79544,102585743598.38164
2021-11-30 15:55:23,135999511992.35228,95009188610.9
2021-11-30 15:55:36,162200153197.22916,96755351285.95197
2021-11-30 15:55:54,145832697499.0851,96450054426.84914
2021-11-30 15:56:10,132661277308.37527,95259628034.09784
2021-11-30 15:56:34,142380366742.53024,91268616508.74342
2021-11-30 15:56:46,145852223532.03845,95144826454.52953
2021-11-30 15:56:49,133583970857.91333,90768579630.57024
2021-11-30 15:56:55,136363644385.13725,91198141487.48509
2021-11-30 15:57:00,120573887499.65433,91062811838.55109
2021-11-30 15:57:04,123869720830.76909,90768579630.57024
2021-11-30 15:57:27,135349159616.69444,91331178797.26611
2021-11-30 15:57:34,124682464814.34483,91198141487.48509
2021-11-30 15:57:41,132143198689.96,91198141487.48509
2021-11-30 15:58:12,146724974170.75735,97005790709.14981
2021-11-30 15:58:29,160634315051.57693,99252058564.03827
2021-11-30 15:58:40,143980545278.67328,95003745699.88667
2021-11-30 15:59:10,141262776475.3433,96450054426.84914
2021-11-30 15:59:25,140693210435.94318,95003745699.88667
2021-11-30 15:59:45,125043801310.59416,90768579630.57024
2021-11-30 16:00:02,146464242030.79895,94780813425.66281
2021-11-30 16:00:44,142678216125.34885,91331178797.26611
2021-11-30 16:00:47,138683423945.9239,94571052138.36957
2021-11-30 16:01:14,145843927769.281,96766522096.5162
2021-11-30 16:01:29,156310005920.3014,99453418896.78592
2021-11-30 16:01:33,187178141780.46667,104709460455.94742
2021-11-30 16:01:43,165262179859.06946,106444839405.63297
2021-11-30 16:02:01,165159269153.52664,97553628351.96587
2021-11-30 16:02:21,144113257600.68683,99519098371.93631
2021-11-30 16:02:24,161167000299.3511,102952608402.64273
2021-11-30 16:02:44,160753144233.26086,102526583953.12775
2021-11-30 16:02:45,171642509649.47226,103236922860.04504
2021-11-30 16:03:32,159163957899.86966,91198141487.48509
2021-11-30 16:03:37,169858868741.54544,100002783549.19106
2021-11-30 16:03:40,187264254100.8063,110088416448.62305
2021-11-30 16:03:54,179692456264.82053,111559657251.37987
2021-11-30 16:03:55,169763779304.32202,95595246683.70139
2021-11-30 16:04:01,173309073064.4,105371388941.45308
2021-11-30 16:04:03,155017542751.19165,100364910700.48409
2021-11-30 16:04:11,172539869259.29092,92854304519.13406
2021-11-30 16:04:31,172046458647.66666,103568753983.95103
2021-11-30 16:04:38,173766092649.63718,97934567088.45949
2021-11-30 16:05:01,174435832461.62686,103773540794.92468
2021-11-30 16:05:30,188043848750.5997,98252855384.3044
2021-11-30 16:06:23,192755863542.13104,111789794383.29033
2021-11-30 16:06:39,211539445191.19232,111857636650.66
2021-11-30 16:06:42,205804074356.08676,105619703424.36182
2021-11-30 16:06:56,200731163277.87234,100451472880.37347
2021-11-30 16:07:05,193961695933.675,93930815766.71873
2021-11-30 16:07:07,179242074644.5,103670457619.68361
2021-11-30 16:07:20,191789388897.0903,130305562782.05174
2021-11-30 16:07:37,209218649912.80087,117673646105.60909
2021-11-30 16:08:00,204813434001.43478,126797974262.2297
2021-11-30 16:08:02,182357581773.14,119064464583.62912
2021-11-30 16:08:03,190531009093.78723,134493702848.62541
2021-11-30 16:08:10,168009422413.22223,116928076941.32953
2021-11-30 16:08:14,162513800266.58313,135858586941.22343
2021-11-30 16:08:27,180414341846.1151,133199610756.08817
2021-11-30 16:08:47,191242278807.4354,111673105144.70308
2021-11-30 16:09:07,184060537581.53845,109017819294.84793
2021-11-30 16:09:08,171919920400.6199,101240574012.95912
2021-11-30 16:09:23,174568706501.2857,95144826454.52953
2021-11-30 16:09:27,152776121174.65714,93157495320.98701
2021-11-30 16:09:28,173099029077.76666,102499701222.55093
2021-11-30 16:09:30,132660578529.58234,113864515384.4045
2021-11-30 16:09:33,152884661221.53287,100682398540.86606
2021-11-30 16:10:15,144308836528.212,102921243062.13084
2021-11-30 16:10:27,175483671525.65958,104836386035.12079
2021-11-30 16:10:39,156242535140.76962,91393889378.09618
2021-11-30 16:11:24,164876182574.21796,99453418896.78592
2021-11-30 16:11:32,181891652612.85,99695687934.57912
