block_timestamp,base_fee_per_gas,gas_used
2021-12-05 18:03:25,110523037666,27300567
2021-12-05 18:03:15,123514776661,2375636
2021-12-05 18:03:04,129668243676,9305344
2021-12-05 18:02:22,116458174036,28639684
2021-12-05 18:02:01,122055228907,9497164
2021-12-05 18:01:19,108497672565,30024087
2021-12-05 18:01:01,96452052273,29986400
2021-12-05 18:01:00,108237410256,1931990
2021-12-05 18:00:57,123304852978,336399
2021-12-05 18:00:34,116638069752,21837598
2021-12-05 18:00:24,104308948490,29183774
2021-12-05 18:00:22,117017446152,1969508
2021-12-05 18:00:21,131353275913,1903261
2021-12-05 17:59:51,117472395083,29179550
2021-12-05 17:59:49,124756969061,7993186
2021-12-05 17:59:38,130475175175,9740879
2021-12-05 17:59:14,115980469598,29997020
2021-12-05 17:59:05,129459995754,2503013
2021-12-05 17:58:49,135737158380,9450602
2021-12-05 17:58:43,138974139417,12204929
2021-12-05 17:57:51,123543080336,30017740
2021-12-05 17:57:35,127592424067,11191592
2021-12-05 17:57:22,115504904222,27530992
2021-12-05 17:56:49,104674184832,27416466
2021-12-05 17:56:45,120661376994,13971929
2021-12-05 17:56:34,126768094513,9228224
2021-12-05 17:56:22,136117126492,6771093
2021-12-05 17:56:02,134220909812,16711454
2021-12-05 17:55:54,121447069143,27621376
2021-12-05 17:55:20,137305867740,1141129
2021-12-05 17:54:43,124953839040,26914613
2021-12-05 17:53:58,111085335718,30010509
2021-12-05 17:53:39,104342983216,22798375
2021-12-05 17:53:38,116760634740,2240008
2021-12-05 17:53:07,103794485436,30048994
2021-12-05 17:52:55,109233503166,9033652
2021-12-05 17:52:44,97104461660,29988686
2021-12-05 17:52:39,102710381340,8442123
2021-12-05 17:52:32,106045831733,11214635
2021-12-05 17:52:15,94267776208,29992933
2021-12-05 17:52:14,107409148394,317841
2021-12-05 17:52:02,110853030937,11271883
2021-12-05 17:51:54,111151334273,14663546
2021-12-05 17:51:51,122406691537,3962055
2021-12-05 17:51:13,108813954345,29989981
2021-12-05 17:51:05,115925542418,7645904
2021-12-05 17:50:39,107783299583,24065079
2021-12-05 17:50:28,103449920872,20007064
2021-12-05 17:50:26,115281436579,2684208
2021-12-05 17:50:20,125337116540,5377758
2021-12-05 17:49:47,111423485741,29984594
2021-12-05 17:49:38,118871969680,7480834
2021-12-05 17:49:18,109135749387,25705442
2021-12-05 17:48:37,110880109388,29985305
2021-12-05 17:48:28,103850960912,23099616
2021-12-05 17:48:17,114864026100,3494502
2021-12-05 17:48:00,102106418753,29993251
2021-12-05 17:47:54,115489030662,1093597
2021-12-05 17:47:37,109669681417,21367482
2021-12-05 17:47:22,111737288116,12767019
2021-12-05 17:47:07,105166629591,22497426
2021-12-05 17:46:56,93488694945,29989508
2021-12-05 17:46:31,103957985985,2912320
2021-12-05 17:46:16,108543068621,9930953
2021-12-05 17:46:04,100906070436,24105533
2021-12-05 17:46:01,113637566025,1555677
2021-12-05 17:45:44,114125138169,14473141
2021-12-05 17:45:28,107794475346,22047418
2021-12-05 17:45:11,118375736973,4269369
2021-12-05 17:44:55,111232155018,22706629
2021-12-05 17:44:11,98874124893,29969178
2021-12-05 17:44:01,105261371103,7718408
2021-12-05 17:43:58,118310445388,1766299
2021-12-05 17:43:43,107136260225,27515858
2021-12-05 17:43:28,108656084490,13321503
2021-12-05 17:43:15,96594170044,29984649
2021-12-05 17:42:09,85869589028,30016512
2021-12-05 17:42:07,89516289114,10111450
2021-12-05 17:41:58,100794660862,1571120
2021-12-05 17:41:40,89595508286,29999617
2021-12-05 17:41:36,96961536224,5883734
2021-12-05 17:41:31,100392007047,10888803
2021-12-05 17:41:24,98211012351,17630300
2021-12-05 17:41:22,103946686053,8370299
2021-12-05 17:41:19,93910949702,27796556
2021-12-05 17:41:06,110768477170,11271405
2021-12-05 17:40:57,98465633912,29963977
2021-12-05 17:40:55,108759682153,3634931
2021-12-05 17:40:53,114855376036,8622789
2021-12-05 17:40:49,129084768550,1772038
2021-12-05 17:40:44,114745435008,29966544
2021-12-05 17:40:20,121940904822,7919006
2021-12-05 17:40:18,108404937584,29954333
2021-12-05 17:39:34,118645143981,4642830
2021-12-05 17:39:32,128425221462,5855784
2021-12-05 17:38:58,114171412570,29952205
2021-12-05 17:38:55,101501448576,29979054
2021-12-05 17:38:52,109583602729,6149602
2021-12-05 17:38:44,111332935930,13114397
2021-12-05 17:38:36,118282494199,7941723
2021-12-05 17:38:24,110230024424,23719674
2021-12-05 17:38:20,117421168208,7643415
2021-12-05 17:38:19,132148773686,1626330
2021-12-05 17:38:02,117482470649,29951138
2021-12-05 17:37:58,130383207335,3120509
2021-12-05 17:37:49,142843560117,4527861
2021-12-05 17:37:41,129728676774,27078378
2021-12-05 17:37:11,139756607713,6370961
2021-12-05 17:36:58,127544726993,26437795
2021-12-05 17:36:48,144739337007,743624
2021-12-05 17:36:25,147031225441,13129468
2021-12-05 17:35:53,136213750914,24553805
2021-12-05 17:35:42,128967563283,21742335
2021-12-05 17:35:35,145574356492,1310664
2021-12-05 17:35:10,142662276328,17432366
2021-12-05 17:34:55,127087159249,29677403
2021-12-05 17:34:12,114792356615,27825235
2021-12-05 17:34:04,124218933266,5882080
2021-12-05 17:33:41,114059629176,25663328
2021-12-05 17:33:38,128574992605,1452703
2021-12-05 17:33:33,137392591517,7298625
2021-12-05 17:33:10,129594950194,22242017
2021-12-05 17:33:01,138330907836,7421687
2021-12-05 17:32:48,122963771759,29996745
