time,block_number,transaction_index,value,gas,gas_price,max_fee_per_gas,max_priority_fee_per_gas,count
2021-08-14 00:04:07.000,13019980.0,211.5,0.0,167000.3254716981,79261864086.65802,73088469436.9748,6668689415.042017,424
2021-08-14 00:04:57.000,13019981.0,72.0,0.0,212985.77931034483,69157794440.75172,99180707157.89473,7104327018.421053,145
2021-08-14 00:05:09.000,13019982.0,43.5,154.52173913043478,211468.51136363635,54270680613.829544,80063442965.51724,2804071861.37931,88
2021-08-14 00:05:12.000,13019983.0,8.0,0.0,239520.29411764705,55987280359.35294,,,17
2021-08-14 00:05:15.000,13019984.0,148.5,0.0,153534.78523489932,52615649297.16443,,,298
2021-08-14 00:05:27.000,13019985.0,254.5,0.0,152885.31764705884,66932057509.617645,89341582274.50981,8744455977.450981,510
2021-08-14 00:06:33.000,13019986.0,111.5,0.0,142326.70535714287,65232313161.46429,66828003638.297874,4207604079.929078,224
2021-08-14 00:06:35.000,13019987.0,23.5,0.0,153439.47916666666,77092450975.45833,68076065739.13043,2604347813.0434785,48
2021-08-14 00:06:39.000,13019988.0,189.5,11.5,172251.60263157895,70257402296.96317,73257864609.375,18891597500.15625,380
2021-08-14 00:07:01.000,13019989.0,287.5,0.0,90717.35069444444,127987258008.0052,103385562480.76923,6712867042.5,576
2021-08-14 00:07:27.000,13019990.0,7.5,0.0,128276.625,93343816138.625,169817954333.33334,101039881666.66667,16
2021-08-14 00:07:40.000,13019991.0,116.0,0.0,148798.11158798283,63048268975.90129,83398397849.05661,7625230870.566038,233
2021-08-14 00:07:44.000,13019992.0,196.0,0.0,146841.6106870229,67341690211.96947,88308305540.54054,11713330054.324324,393
2021-08-14 00:08:42.000,13019993.0,126.5,0.0,203663.2874015748,80872384014.02756,112449961507.46269,23276794492.53731,254
2021-08-14 00:08:55.000,13019994.0,24.0,0.0,139529.32653061225,64957953687.55102,88631617090.90909,4454545454.545455,49
2021-08-14 00:08:56.000,13019995.0,256.0,0.0,111652.40935672514,65958297436.04094,88923694941.86046,12303547977.67442,513
2021-08-14 00:09:14.000,13019996.0,70.0,0.0,139114.94326241134,65966453873.049644,107605569723.40425,8188758361.702127,141
2021-08-14 00:09:31.000,13019997.0,72.0,0.0,164211.81379310344,68205200803.93793,77356587392.15686,16071349550.588236,145
2021-08-14 00:09:42.000,13019998.0,42.0,0.0,139366.81176470587,70014807328.85883,78166560105.26315,9227823067.368422,85
2021-08-14 00:09:48.000,13019999.0,157.0,0.0,191675.273015873,61655076319.368256,84708460375.0,21966117488.541668,315
2021-08-14 00:10:07.000,13020000.0,103.0,0.0,168088.69082125605,66699806507.429955,95028768086.2069,4872469448.793103,207
2021-08-14 00:10:31.000,13020001.0,82.0,0.0,219424.15151515152,67430163495.70909,86930971115.38461,18847380846.153847,165
2021-08-14 00:10:46.000,13020002.0,47.0,0.0,199938.42105263157,72510556686.3158,,,95
2021-08-14 00:11:00.000,13020003.0,107.0,0.0,120165.76744186046,55484729908.05116,92085911809.5238,12635563940.238094,215
2021-08-14 00:11:04.000,13020004.0,9.0,0.0,142581.36842105264,59705340994.68421,65608859714.28571,35338900500.0,19
2021-08-14 00:11:06.000,13020005.0,116.0,0.0,398899.8025751073,53084639962.330475,94461231120.0,15686655960.0,233
2021-08-14 00:11:15.000,13020006.0,123.0,0.0,164613.24291497975,65088975208.14575,89642794614.0351,13089312905.438597,247
2021-08-14 00:11:33.000,13020007.0,144.5,0.0,143985.53103448276,63827063793.32069,80202211270.0,15479656720.5,290
2021-08-14 00:11:58.000,13020008.0,90.0,0.0,184289.4640883978,66582388116.49724,92160311297.87234,14762108872.340425,181
2021-08-14 00:12:16.000,13020009.0,192.0,0.0,187869.62077922077,69450121744.4052,100784043737.5,8347504968.75,385
2021-08-14 00:12:59.000,13020010.0,56.5,0.0,264902.56140350876,74958024776.57018,85933687675.67567,7577718362.162162,114
2021-08-14 00:13:10.000,13020011.0,73.5,0.0,151374.66216216216,63149794617.945946,97503958708.33333,12787357288.333334,148
2021-08-14 00:13:24.000,13020012.0,121.5,0.0,210476.75409836066,61155872172.66803,79706433027.77777,28714419850.555557,244
